| end of epoch 266 | time:  8.14s | valid loss  4.27 | valid ppl    71.83
| end of epoch 267 | time:  8.13s | valid loss  4.26 | valid ppl    70.50
| end of epoch 268 | time:  8.15s | valid loss  4.25 | valid ppl    69.90
| end of epoch 269 | time:  8.15s | valid loss  4.27 | valid ppl    71.33
| end of epoch 270 | time:  8.10s | valid loss  4.27 | valid ppl    71.59
| end of epoch 271 | time:  8.07s | valid loss  4.25 | valid ppl    70.15
| end of epoch 272 | time:  8.11s | valid loss  4.26 | valid ppl    71.05
| end of epoch 273 | time:  8.15s | valid loss  4.26 | valid ppl    70.84
| end of epoch 274 | time:  8.11s | valid loss  4.26 | valid ppl    71.00
| end of epoch 275 | time:  8.13s | valid loss  4.26 | valid ppl    71.07
| end of epoch 276 | time:  8.11s | valid loss  4.25 | valid ppl    69.89
| end of epoch 277 | time:  8.14s | valid loss  4.24 | valid ppl    69.73
| end of epoch 278 | time:  8.10s | valid loss  4.26 | valid ppl    70.95
| end of epoch 279 | time:  8.10s | valid loss  4.24 | valid ppl    69.39
| end of epoch 280 | time:  8.14s | valid loss  4.27 | valid ppl    71.73
| end of epoch 281 | time:  8.14s | valid loss  4.25 | valid ppl    70.22
| end of epoch 282 | time:  8.15s | valid loss  4.26 | valid ppl    70.86
| end of epoch 283 | time:  8.09s | valid loss  4.29 | valid ppl    72.77
| end of epoch 284 | time:  8.09s | valid loss  4.24 | valid ppl    69.39
| end of epoch 285 | time:  8.05s | valid loss  4.25 | valid ppl    69.88
| end of epoch 286 | time:  8.11s | valid loss  4.27 | valid ppl    71.63
| end of epoch 287 | time:  8.12s | valid loss  4.26 | valid ppl    71.09
| end of epoch 288 | time:  8.14s | valid loss  4.25 | valid ppl    70.38
| end of epoch 289 | time:  8.15s | valid loss  4.26 | valid ppl    71.16
| end of epoch 290 | time:  8.15s | valid loss  4.24 | valid ppl    69.12
| end of epoch 291 | time:  8.12s | valid loss  4.25 | valid ppl    70.44
| end of epoch 292 | time:  8.07s | valid loss  4.28 | valid ppl    72.45
| end of epoch 293 | time:  8.06s | valid loss  4.27 | valid ppl    71.39
| end of epoch 294 | time:  8.07s | valid loss  4.26 | valid ppl    70.57
| end of epoch 295 | time:  8.12s | valid loss  4.25 | valid ppl    69.77
| end of epoch 296 | time:  8.14s | valid loss  4.25 | valid ppl    70.24
| end of epoch 297 | time:  8.14s | valid loss  4.24 | valid ppl    69.67
| end of epoch 298 | time:  8.12s | valid loss  4.28 | valid ppl    72.51
| end of epoch 299 | time:  8.07s | valid loss  4.27 | valid ppl    71.66
| end of epoch 300 | time:  8.06s | valid loss  4.27 | valid ppl    71.30
| end of epoch 301 | time:  8.14s | valid loss  4.23 | valid ppl    68.58
| end of epoch 302 | time:  8.12s | valid loss  4.26 | valid ppl    70.96
| end of epoch 303 | time:  8.14s | valid loss  4.24 | valid ppl    69.56
| end of epoch 304 | time:  8.14s | valid loss  4.27 | valid ppl    71.51
| end of epoch 305 | time:  8.12s | valid loss  4.25 | valid ppl    70.03
| end of epoch 306 | time:  8.10s | valid loss  4.25 | valid ppl    70.46
| end of epoch 307 | time:  8.12s | valid loss  4.24 | valid ppl    69.75
| end of epoch 308 | time:  8.13s | valid loss  4.26 | valid ppl    70.91
| end of epoch 309 | time:  8.11s | valid loss  4.27 | valid ppl    71.33
| end of epoch 310 | time:  8.14s | valid loss  4.25 | valid ppl    70.42
| end of epoch 311 | time:  8.15s | valid loss  4.26 | valid ppl    70.50
| end of epoch 312 | time:  8.14s | valid loss  4.28 | valid ppl    72.59
| end of epoch 313 | time:  8.11s | valid loss  4.27 | valid ppl    71.48
| end of epoch 314 | time:  8.08s | valid loss  4.25 | valid ppl    70.00
| end of epoch 315 | time:  8.12s | valid loss  4.25 | valid ppl    70.32
| end of epoch 316 | time:  8.16s | valid loss  4.27 | valid ppl    71.59
| end of epoch 317 | time:  8.15s | valid loss  4.27 | valid ppl    71.73
| end of epoch 318 | time:  8.15s | valid loss  4.25 | valid ppl    70.04
| end of epoch 319 | time:  8.15s | valid loss  4.26 | valid ppl    70.68
| end of epoch 320 | time:  8.10s | valid loss  4.26 | valid ppl    70.95
| end of epoch 321 | time:  8.15s | valid loss  4.25 | valid ppl    70.40
| end of epoch 322 | time:  8.14s | valid loss  4.27 | valid ppl    71.22
| end of epoch 323 | time:  8.13s | valid loss  4.25 | valid ppl    70.29
| end of epoch 324 | time:  8.14s | valid loss  4.27 | valid ppl    71.22
| end of epoch 325 | time:  8.13s | valid loss  4.25 | valid ppl    69.82
| end of epoch 326 | time:  8.12s | valid loss  4.27 | valid ppl    71.77
| end of epoch 327 | time:  8.13s | valid loss  4.25 | valid ppl    70.40
| end of epoch 328 | time:  8.14s | valid loss  4.25 | valid ppl    70.10
| end of epoch 329 | time:  8.11s | valid loss  4.26 | valid ppl    70.78
| end of epoch 330 | time:  8.10s | valid loss  4.24 | valid ppl    69.52
| end of epoch 331 | time:  8.15s | valid loss  4.25 | valid ppl    69.77
| end of epoch 332 | time:  8.15s | valid loss  4.27 | valid ppl    71.43
| end of epoch 333 | time:  8.13s | valid loss  4.26 | valid ppl    70.84
| end of epoch 334 | time:  8.14s | valid loss  4.26 | valid ppl    71.07
| end of epoch 335 | time:  8.08s | valid loss  4.26 | valid ppl    70.52
| end of epoch 336 | time:  8.11s | valid loss  4.26 | valid ppl    71.06
| end of epoch 337 | time:  8.13s | valid loss  4.27 | valid ppl    71.27
| end of epoch 338 | time:  8.12s | valid loss  4.27 | valid ppl    71.74
| end of epoch 339 | time:  8.14s | valid loss  4.27 | valid ppl    71.23
| end of epoch 340 | time:  8.13s | valid loss  4.26 | valid ppl    70.55
| end of epoch 341 | time:  8.15s | valid loss  4.27 | valid ppl    71.35
| end of epoch 342 | time:  8.15s | valid loss  4.26 | valid ppl    71.11
| end of epoch 343 | time:  8.15s | valid loss  4.28 | valid ppl    71.93
| end of epoch 344 | time:  8.12s | valid loss  4.26 | valid ppl    70.87
| end of epoch 345 | time:  8.13s | valid loss  4.24 | valid ppl    69.17
| end of epoch 346 | time:  8.15s | valid loss  4.28 | valid ppl    72.45
