| end of epoch 263 | time:  7.92s | valid loss 14.03 | valid ppl 1240233.89
| end of epoch 264 | time:  7.94s | valid loss 13.15 | valid ppl 511534.74
| end of epoch 265 | time:  7.97s | valid loss 12.11 | valid ppl 181832.38
| end of epoch 266 | time:  7.99s | valid loss 17.03 | valid ppl 24789584.76
| end of epoch 267 | time:  7.98s | valid loss 12.60 | valid ppl 297110.93
| end of epoch 268 | time:  7.97s | valid loss 12.72 | valid ppl 334355.99
| end of epoch 269 | time:  7.96s | valid loss 16.14 | valid ppl 10198645.65
| end of epoch 270 | time:  7.95s | valid loss 12.73 | valid ppl 337356.96
| end of epoch 271 | time:  7.94s | valid loss 11.77 | valid ppl 129896.83
| end of epoch 272 | time:  7.94s | valid loss 12.96 | valid ppl 425990.03
| end of epoch 273 | time:  7.99s | valid loss 12.91 | valid ppl 405761.26
| end of epoch 274 | time:  7.99s | valid loss 12.85 | valid ppl 380539.03
| end of epoch 275 | time:  7.98s | valid loss 11.44 | valid ppl 92930.82
| end of epoch 276 | time:  7.92s | valid loss 12.18 | valid ppl 195328.33
| end of epoch 277 | time:  7.94s | valid loss 14.88 | valid ppl 2894491.88
| end of epoch 278 | time:  7.97s | valid loss 11.83 | valid ppl 136670.88
| end of epoch 279 | time:  7.95s | valid loss 12.72 | valid ppl 334285.22
| end of epoch 280 | time:  7.96s | valid loss 10.62 | valid ppl 41021.03
| end of epoch 281 | time:  7.96s | valid loss 13.13 | valid ppl 501464.08
| end of epoch 282 | time:  7.96s | valid loss 14.71 | valid ppl 2437605.54
| end of epoch 283 | time:  7.94s | valid loss 11.42 | valid ppl 91147.66
| end of epoch 284 | time:  7.96s | valid loss 11.30 | valid ppl 80517.35
| end of epoch 285 | time:  7.94s | valid loss 11.32 | valid ppl 82258.86
| end of epoch 286 | time:  7.94s | valid loss 12.23 | valid ppl 205223.35
| end of epoch 287 | time:  8.00s | valid loss 12.95 | valid ppl 421426.82
| end of epoch 288 | time:  7.98s | valid loss 15.13 | valid ppl 3706597.58
| end of epoch 289 | time:  7.98s | valid loss 12.11 | valid ppl 181251.77
| end of epoch 290 | time:  7.98s | valid loss 12.89 | valid ppl 395320.47
| end of epoch 291 | time:  7.95s | valid loss 13.34 | valid ppl 623634.42
| end of epoch 292 | time:  7.93s | valid loss 12.84 | valid ppl 378208.03
| end of epoch 293 | time:  7.97s | valid loss 11.94 | valid ppl 153205.59
| end of epoch 294 | time:  7.96s | valid loss 12.25 | valid ppl 208071.84
| end of epoch 295 | time:  7.96s | valid loss 13.66 | valid ppl 854169.45
| end of epoch 296 | time:  7.97s | valid loss 12.18 | valid ppl 194333.68
| end of epoch 297 | time:  7.97s | valid loss 12.21 | valid ppl 201468.80
| end of epoch 298 | time:  7.96s | valid loss 12.25 | valid ppl 208852.42
| end of epoch 299 | time:  7.96s | valid loss 12.79 | valid ppl 359755.86
| end of epoch 300 | time:  7.94s | valid loss 12.10 | valid ppl 180515.57
| end of epoch 301 | time:  7.94s | valid loss 12.39 | valid ppl 240566.30
| end of epoch 302 | time:  7.95s | valid loss 12.29 | valid ppl 217835.76
| end of epoch 303 | time:  7.98s | valid loss 11.57 | valid ppl 105516.27
| end of epoch 304 | time:  8.00s | valid loss 11.16 | valid ppl 70114.92
| end of epoch 305 | time:  7.97s | valid loss 11.41 | valid ppl 90394.23
| end of epoch 306 | time:  7.94s | valid loss 13.75 | valid ppl 936141.80
| end of epoch 307 | time:  7.94s | valid loss 12.39 | valid ppl 241319.39
| end of epoch 308 | time:  7.96s | valid loss 14.92 | valid ppl 3032542.42
| end of epoch 309 | time:  7.94s | valid loss 15.07 | valid ppl 3519328.64
| end of epoch 310 | time:  7.94s | valid loss 11.17 | valid ppl 71017.86
| end of epoch 311 | time:  7.97s | valid loss 12.57 | valid ppl 288085.62
| end of epoch 312 | time:  7.99s | valid loss 14.22 | valid ppl 1505416.09
| end of epoch 313 | time:  7.97s | valid loss 12.86 | valid ppl 384929.06
| end of epoch 314 | time:  7.95s | valid loss 12.47 | valid ppl 259362.30
| end of epoch 315 | time:  7.95s | valid loss 13.40 | valid ppl 659667.23
| end of epoch 316 | time:  7.95s | valid loss 14.25 | valid ppl 1541376.99
| end of epoch 317 | time:  7.97s | valid loss 12.58 | valid ppl 291279.57
| end of epoch 318 | time:  7.98s | valid loss 15.38 | valid ppl 4788264.44
| end of epoch 319 | time:  7.99s | valid loss 11.63 | valid ppl 112836.88
| end of epoch 320 | time:  7.94s | valid loss 11.60 | valid ppl 108717.57
| end of epoch 321 | time:  7.94s | valid loss 11.91 | valid ppl 149421.00
| end of epoch 322 | time:  7.94s | valid loss 11.73 | valid ppl 124576.04
| end of epoch 323 | time:  7.95s | valid loss 13.90 | valid ppl 1084604.57
| end of epoch 324 | time:  7.98s | valid loss 11.27 | valid ppl 78709.98
| end of epoch 325 | time:  7.99s | valid loss 11.39 | valid ppl 88058.95
| end of epoch 326 | time:  7.98s | valid loss 12.21 | valid ppl 201104.42
| end of epoch 327 | time:  7.98s | valid loss 12.68 | valid ppl 320141.56
| end of epoch 328 | time:  7.95s | valid loss 11.56 | valid ppl 105262.39
| end of epoch 329 | time:  7.94s | valid loss 11.62 | valid ppl 110951.99
| end of epoch 330 | time:  7.94s | valid loss 12.37 | valid ppl 236654.35
| end of epoch 331 | time:  7.97s | valid loss 13.46 | valid ppl 700265.58
| end of epoch 332 | time:  8.00s | valid loss 11.75 | valid ppl 126947.52
| end of epoch 333 | time:  7.93s | valid loss 11.90 | valid ppl 147386.43
| end of epoch 334 | time:  7.96s | valid loss 10.22 | valid ppl 27534.83
| end of epoch 335 | time:  7.97s | valid loss 12.27 | valid ppl 213885.61
| end of epoch 336 | time:  7.96s | valid loss 12.60 | valid ppl 296536.21
| end of epoch 337 | time:  7.95s | valid loss 12.19 | valid ppl 196319.36
| end of epoch 338 | time:  7.94s | valid loss 15.30 | valid ppl 4421088.67
| end of epoch 339 | time:  7.96s | valid loss 12.45 | valid ppl 256101.11
| end of epoch 340 | time:  7.94s | valid loss 17.85 | valid ppl 56236266.04
| end of epoch 341 | time:  7.94s | valid loss 12.14 | valid ppl 186544.85
| end of epoch 342 | time:  7.94s | valid loss 12.57 | valid ppl 288945.24
| end of epoch 343 | time:  7.98s | valid loss 14.15 | valid ppl 1402322.65
| end of epoch 344 | time:  7.97s | valid loss 11.96 | valid ppl 156425.91
| end of epoch 345 | time:  7.95s | valid loss 11.40 | valid ppl 89578.48
| end of epoch 346 | time:  7.95s | valid loss 11.65 | valid ppl 114799.02
| end of epoch 347 | time:  7.95s | valid loss 12.24 | valid ppl 207769.22
| end of epoch 348 | time:  7.94s | valid loss 13.10 | valid ppl 489767.21
| end of epoch 349 | time:  7.98s | valid loss 10.80 | valid ppl 48884.35
| end of epoch 350 | time:  7.95s | valid loss 11.90 | valid ppl 146670.21
| end of epoch 351 | time:  7.94s | valid loss 16.58 | valid ppl 15857627.24
| end of epoch 352 | time:  7.96s | valid loss 21.39 | valid ppl 1947100122.88
| end of epoch 353 | time:  7.97s | valid loss 12.60 | valid ppl 295218.65
| end of epoch 354 | time:  7.96s | valid loss 11.86 | valid ppl 140936.67
| end of epoch 355 | time:  7.95s | valid loss 14.90 | valid ppl 2960383.35
