| end of epoch 303 | time:  8.89s | valid loss  4.22 | valid ppl    68.17
| end of epoch 304 | time:  8.88s | valid loss  4.24 | valid ppl    69.24
| end of epoch 305 | time:  8.86s | valid loss  4.23 | valid ppl    68.77
| end of epoch 306 | time:  8.87s | valid loss  4.24 | valid ppl    69.40
| end of epoch 307 | time:  8.86s | valid loss  4.22 | valid ppl    68.32
| end of epoch 308 | time:  8.85s | valid loss  4.25 | valid ppl    70.23
| end of epoch 309 | time:  8.84s | valid loss  4.25 | valid ppl    70.38
| end of epoch 310 | time:  8.89s | valid loss  4.24 | valid ppl    69.54
| end of epoch 311 | time:  8.92s | valid loss  4.24 | valid ppl    69.48
| end of epoch 312 | time:  8.90s | valid loss  4.26 | valid ppl    70.91
| end of epoch 313 | time:  8.86s | valid loss  4.25 | valid ppl    70.29
| end of epoch 314 | time:  8.85s | valid loss  4.23 | valid ppl    68.77
| end of epoch 315 | time:  8.89s | valid loss  4.25 | valid ppl    70.30
| end of epoch 316 | time:  8.86s | valid loss  4.24 | valid ppl    69.64
| end of epoch 317 | time:  8.86s | valid loss  4.25 | valid ppl    70.14
| end of epoch 318 | time:  8.88s | valid loss  4.23 | valid ppl    68.56
| end of epoch 319 | time:  8.89s | valid loss  4.24 | valid ppl    69.51
| end of epoch 320 | time:  8.84s | valid loss  4.24 | valid ppl    69.55
| end of epoch 321 | time:  8.89s | valid loss  4.24 | valid ppl    69.53
| end of epoch 322 | time:  8.93s | valid loss  4.25 | valid ppl    70.43
| end of epoch 323 | time:  8.91s | valid loss  4.24 | valid ppl    69.46
| end of epoch 324 | time:  8.88s | valid loss  4.25 | valid ppl    70.16
| end of epoch 325 | time:  8.90s | valid loss  4.24 | valid ppl    69.23
| end of epoch 326 | time:  8.87s | valid loss  4.25 | valid ppl    69.87
| end of epoch 327 | time:  8.87s | valid loss  4.23 | valid ppl    68.55
| end of epoch 328 | time:  8.88s | valid loss  4.23 | valid ppl    68.84
| end of epoch 329 | time:  8.90s | valid loss  4.24 | valid ppl    69.75
| end of epoch 330 | time:  8.91s | valid loss  4.23 | valid ppl    68.79
| end of epoch 331 | time:  8.91s | valid loss  4.23 | valid ppl    69.04
| end of epoch 332 | time:  8.91s | valid loss  4.25 | valid ppl    70.33
| end of epoch 333 | time:  8.90s | valid loss  4.25 | valid ppl    70.37
