| end of epoch 193 | time:  9.15s | valid loss  4.70 | valid ppl   109.60
| end of epoch 194 | time:  9.13s | valid loss  4.57 | valid ppl    96.20
| end of epoch 195 | time:  9.12s | valid loss  4.59 | valid ppl    98.75
| end of epoch 196 | time:  9.12s | valid loss  4.61 | valid ppl   100.16
| end of epoch 197 | time:  9.15s | valid loss  4.58 | valid ppl    97.86
| end of epoch 198 | time:  9.13s | valid loss  4.54 | valid ppl    93.73
| end of epoch 199 | time:  9.15s | valid loss  4.67 | valid ppl   106.70
| end of epoch 200 | time:  9.13s | valid loss  4.64 | valid ppl   103.24
| end of epoch 201 | time:  9.13s | valid loss  4.59 | valid ppl    98.57
| end of epoch 202 | time:  9.12s | valid loss  4.60 | valid ppl    99.28
| end of epoch 203 | time:  9.12s | valid loss  4.58 | valid ppl    97.70
| end of epoch 204 | time:  9.14s | valid loss  4.61 | valid ppl   100.53
| end of epoch 205 | time:  9.16s | valid loss  4.68 | valid ppl   107.89
| end of epoch 206 | time:  9.15s | valid loss  4.60 | valid ppl    99.69
| end of epoch 207 | time:  9.15s | valid loss  4.62 | valid ppl   101.72
| end of epoch 208 | time:  9.11s | valid loss  4.62 | valid ppl   101.10
| end of epoch 209 | time:  9.09s | valid loss  4.64 | valid ppl   103.78
| end of epoch 210 | time:  9.11s | valid loss  4.55 | valid ppl    94.68
| end of epoch 211 | time:  9.14s | valid loss  4.70 | valid ppl   110.06
| end of epoch 212 | time:  9.17s | valid loss  4.63 | valid ppl   102.21
| end of epoch 213 | time:  9.15s | valid loss  4.62 | valid ppl   101.41
| end of epoch 214 | time:  9.14s | valid loss  4.63 | valid ppl   102.42
| end of epoch 215 | time:  9.10s | valid loss  4.59 | valid ppl    98.50
| end of epoch 216 | time:  9.10s | valid loss  4.65 | valid ppl   104.57
| end of epoch 217 | time:  9.16s | valid loss  4.66 | valid ppl   105.50
| end of epoch 218 | time:  9.15s | valid loss  4.63 | valid ppl   102.82
| end of epoch 219 | time:  9.15s | valid loss  4.57 | valid ppl    96.39
| end of epoch 220 | time:  9.15s | valid loss  4.59 | valid ppl    98.46
| end of epoch 221 | time:  9.14s | valid loss  4.64 | valid ppl   103.17
| end of epoch 222 | time:  9.11s | valid loss  4.59 | valid ppl    98.14
| end of epoch 223 | time:  9.13s | valid loss  4.60 | valid ppl    99.35
| end of epoch 224 | time:  9.13s | valid loss  4.68 | valid ppl   107.97
| end of epoch 225 | time:  9.15s | valid loss  4.60 | valid ppl    99.20
| end of epoch 226 | time:  9.14s | valid loss  4.58 | valid ppl    97.98
| end of epoch 227 | time:  9.14s | valid loss  4.65 | valid ppl   104.10
| end of epoch 228 | time:  9.10s | valid loss  4.61 | valid ppl   100.67
| end of epoch 229 | time:  9.14s | valid loss  4.58 | valid ppl    97.81
| end of epoch 230 | time:  9.14s | valid loss  4.59 | valid ppl    98.45
| end of epoch 231 | time:  9.14s | valid loss  4.59 | valid ppl    98.34
| end of epoch 232 | time:  9.15s | valid loss  4.59 | valid ppl    98.31
| end of epoch 233 | time:  9.15s | valid loss  4.62 | valid ppl   101.30
| end of epoch 234 | time:  9.15s | valid loss  4.58 | valid ppl    97.70
| end of epoch 235 | time:  9.12s | valid loss  4.63 | valid ppl   102.90
| end of epoch 236 | time:  9.12s | valid loss  4.62 | valid ppl   101.66
| end of epoch 237 | time:  9.14s | valid loss  4.68 | valid ppl   107.95
| end of epoch 238 | time:  9.14s | valid loss  4.66 | valid ppl   105.74
| end of epoch 239 | time:  9.14s | valid loss  4.60 | valid ppl    99.80
| end of epoch 240 | time:  9.13s | valid loss  4.61 | valid ppl   100.61
| end of epoch 241 | time:  9.11s | valid loss  4.68 | valid ppl   107.99
| end of epoch 242 | time:  9.15s | valid loss  4.60 | valid ppl    99.55
| end of epoch 243 | time:  9.14s | valid loss  4.63 | valid ppl   102.37
| end of epoch 244 | time:  9.14s | valid loss  4.61 | valid ppl   100.98
| end of epoch 245 | time:  9.15s | valid loss  4.54 | valid ppl    93.69
| end of epoch 246 | time:  9.15s | valid loss  4.53 | valid ppl    93.14
| end of epoch 247 | time:  9.13s | valid loss  4.62 | valid ppl   101.20
| end of epoch 248 | time:  9.16s | valid loss  4.59 | valid ppl    98.97
